id,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
,,,,,,,,,,,,,,,
fb,Brantner,Franziska-Brantner,0,1,1979,1,2,1,2,0,1,14055,4458,2.745,25
ft,Toncar,Florian-Toncar,0,2,1979,1,2,4,1,3,3,8588,3070,4475,99
rs,SchwarzeluehrSuetter,Rita-Schwarzeluehr-Suetter,0,1,1962,1,1,3,3,1,2,4250,1534,2940,17
tl,Lindner,Tobias-Lindner,0,2,1982,3,2,3,2,0,0,10518,3576,4919,0
bs,Strasser,Benjamin-Strasser,0,2,1987,1,3,4,1,1,0,5809,3921,3370,285
co,Oezdemir,Cem-Oezdemir,0,2,1965,2,1,2,2,0,2,317320,104993,162576,0
mt,Theurer,Michael-Theurer,0,2,1967,1,1,3,1,3,2,8481,3746,27915,0
ck,Kuehn,Christian-Kuehn,0,2,1979,1,4,1,2,2,3,4787,1659,98,35
jb,Brandenburg,Jens-Brandenburg,0,2,1986,1,2,1,1,0,0,5410,3324,0,0
ago,ago,Agora,1,0,0,0,0,0,0,0,0,0,0,0,0
tue,tue,Tuebingen,1,0,0,0,0,0,0,0,0,0,0,0,0
fre,fre,Freiburg,1,0,0,0,0,0,0,0,0,0,0,0,0
but,but,Deutscher-Bundestag,1,0,0,0,0,0,0,0,0,0,0,0,0
eu,eu,Europaeisches-Parlament,1,0,0,0,0,0,0,0,0,0,0,0,0
ra,ra,Rechtsanwalt / lawer,1,0,0,0,0,0,0,0,0,0,0,0,0
bu,bu,BUNNV,1,0,0,0,0,0,0,0,0,0,0,0,0
unb,unb,Unternehmensberatung / Consulting,1,0,0,0,0,0,0,0,0,0,0,0,0
fdbw,fdbw,FDP-Baden-Wuertemberg,1,0,0,0,0,0,0,0,0,0,0,0,0
aih,aih,Ausschuss-Inneres-Heimat,1,0,0,0,0,0,0,0,0,0,0,0,0
jl,jl,Junge-Liberale,1,0,0,0,0,0,0,0,0,0,0,0,0